coID:700 baseID:2323084486960228869
coID:701 baseID:2323084486962107392
coID:702 baseID:2323084486962400009
coID:703 baseID:2323084486962411009
coID:704 baseID:2323085586408216832
coID:705 baseID:2323085586408217600
coID:706 baseID:2323085586408289024
coID:707 baseID:2323085586408290560
coID:708 baseID:2323085586408717060
coID:709 baseID:2323085586408717061
coID:710 baseID:2323085586408717064
coID:711 baseID:2323085586408719108
coID:712 baseID:2323085586408719111
coID:713 baseID:2323085586408719112
coID:714 baseID:2327235131009122048
coID:715 baseID:2327235131009242112
coID:716 baseID:2327235131009351430
coID:717 baseID:2327235131009366790
coID:718 baseID:2327235131014844161
coID:719 baseID:2327235131014852865
coID:720 baseID:2328149920944915713
coID:721 baseID:2328149920944915729
coID:722 baseID:2328149920944937733
coID:723 baseID:2328149920944937734
coID:724 baseID:2328149920944937736
coID:725 baseID:2328149920949005837
coID:726 baseID:2328149920949005851
coID:727 baseID:2333018557127215386
coID:728 baseID:2333216486613243648
coID:729 baseID:2333216486613245952
coID:730 baseID:2333216486614289920
coID:731 baseID:2333216486614292224
coID:732 baseID:2333216486614352641
coID:733 baseID:2333216486614355719
coID:734 baseID:2333216486614355720
coID:735 baseID:2333216486614355723
coID:736 baseID:2333216486614369802
coID:737 baseID:2333216486614369803
coID:738 baseID:2333216486614369806
coID:739 baseID:2333216486614369807
coID:740 baseID:2333216486676232704
coID:741 baseID:2333216486676260096
coID:742 baseID:2333216486676569346
coID:743 baseID:2333216486676677634
coID:744 baseID:2333216486921720833
coID:745 baseID:2333216486921722624
coID:746 baseID:2333216486945174017
coID:747 baseID:2333216486945174031
coID:748 baseID:2333216486945175040
coID:749 baseID:2333216486945175041
coID:750 baseID:2333216486945175046
coID:751 baseID:2334764598911537409
coID:752 baseID:2334764598911537665
coID:753 baseID:2334764598911537679
coID:754 baseID:2334764598911537687
coID:755 baseID:2334764598911585025
coID:756 baseID:2334764598911590662
coID:757 baseID:2334764598911736833
coID:758 baseID:2334764598911736846
coID:759 baseID:2334764598911806721
